ID,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Region,Depth,Trial,Letter,ISI check,Peak_V,Trough_V,Peak to Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.12,1,A,x,-0.979,0.39,0.000479999,,Good,Y,N,Inverted but beautiful
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.12,1,B,x,0.931,0,0.0032,,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.14,1,A,x,0.4347,-0.131,0.000179999,,Good,Y,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.24,2,A,x,0.3594,0.0343,0.000899996,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.24,2,B,x,-0.3945,0.0247,0.001259966,,Good,N,N,Inverted; might not be auditory
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.22,2,A,x,-0.774,0.001,0.000240002,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.22,2,B,x,0.733,0.06,0.001020065,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.44,3,A,x,-0.254,0.0005,0.001320005,,Bad,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.44,3,B,x,0.2604,-0.0164,0.001259995,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.38,3,A,x,0.692,-0.159,0.00018,,Good,N,Y,Trough before peak
A2,A,xfostered,23,2,9.6,5/22/21,20,R,NCM,1.49,4,A,x,0.2154,-0.0119,0.001200033,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,20,R,FL,1.47,4,A,x,-0.755,0.29,0.000180001,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.39,5,A,x,0.672,-0.201,0.000179998,,Good,N,N,Higher peak was after lower peak
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.39,5,B,x,-0.85,0.357,0.000120009,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,L,NCM,1.02,6,A,x,0.26941,-0.04681,0.000479849,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.44,6,A,x,0.7,-0.042,0.001259771,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.44,6,B,x,-0.865,0.114,0.001019992,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,L,NCM,0.97,7,A,x,0.28998,-0.04797,0.000839939,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.54,7,A,x,0.772,-0.03,0.001259961,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.54,7,B,x,-1.054,0.157,0.000359963,,Bad,N,N,Inverted
A3,A,normal,20,3,11.7,5/16/21,15,L,NCM,1,1,A,x,0.3605,-0.0821,0.000360008,,Good,N,N,
A3,A,normal,20,3,11.7,5/16/21,15,L,FL,1.73,1,A,x,-0.535,0.244,0.00018,,Good,N,N,Drifted into the spot so first presentations not great
A3,A,normal,20,3,11.7,5/16/21,15,L,NCM,1.1,2,A,x,0.637,-0.392,0.000180003,,Good,N,N,"Only 1st half of trial are these measurements (second half peak, trough , p2p = 0.4866V, -0.193V, 0.000179996s)"
A3,A,normal,20,3,11.7,5/16/21,15,L,FL,1.79,2,A,x,-1.041,0.135,0.001019988,,Good,N,N,Inverted
A3,A,normal,20,3,11.7,5/16/21,20,L,NCM,1.2,3,A,x,0.3667,-0.0511,0.000420005,,Good,N,N,
A3,A,normal,20,3,11.7,5/16/21,20,L,FL,1.64,3,A,ok,-0.717,0.313,0.00018,,Bad,N,N,Inverted; Low S:N
A3,A,normal,20,3,11.7,5/16/21,20,L,NCM,1.3,4,A,x,0.3437,-0.0586,0.00024,,Good,N,N,
A3,A,normal,20,3,11.7,5/16/21,20,L,FL,1.49,4,A,x,-0.942,0.161,0.000420001,,Good,N,N,Inverted
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.06,1,A,x,0.6942,0.0843,0.000240001,,Bad,N,N,Weird double peak
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.06,1,B,x,-0.832,0.002,0.001,,Bad,N,N,"Inverted, horrible shape"
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.1,1,A,x,-1.23,0.093,0.000180029,,Bad,Y,N,Inverted with double depolarization peak; Loose spot a bit after 45 presentations
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.15,2,A,x,0.5782,-0.0198,0.0012,,Good,N,N,
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.15,2,B,ok,-0.6011,0.0004,0.001619,,Bad,N,N,"Inverted, horrible shape"
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.2,2,A,ok?,-0.6039,0.0089,0.00018,,Bad,N,Y,"Double peaked, low S:N"
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.25,3,A,x,0.5946,-0.0333,0.00042,,Good,N,N,
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.25,3,A,x,-1.133,0.355,0.000240001,,Good,N,N,Inverted
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.25,3,B,x,1.014,-0.09,0.001259997,,Bad,N,N,Shape is weird
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.35,4,A,x,0.588,-0.183,0.0004199,,Good,Y,N,
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.3,4,A,ok,-1.324,0.406,0.00024,,Bad,N,N,Inverted; lost spot after 460s
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.45,5,A,x,0.531,-0.213,0.00036,,Good,N,N,
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.35,5,A,ok,-1.028,0.5,0.00018,,Bad,N,N,Inverted; Lost spot after 640s
A5,A,normal,20,2,10.6,5/19/21,20,R,NCM,1.01,1,A,ok,0.3452,-0.107,0.000240002,,Good,N,N,
A5,A,normal,20,2,10.6,5/19/21,20,R,FL,1.25,1,A,x,-0.8269,0.295,0.000599999,,Good,N,N,Inverted
A5,A,normal,20,2,10.6,5/19/21,20,R,FL,1.25,1,B,x,0.759,0,0.001320188,,Bad,N,N,Shape is weird
A5,A,normal,20,2,10.6,5/19/21,20,R,NCM,1.11,2,A,x,0.4146,-0.0409,0.001259986,,Good,N,N,
A5,A,normal,20,2,10.6,5/19/21,20,R,FL,1.35,2,A,ok,-1.021,0.312,0.000539945,,Bad,N,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,R,NCM,1.49,1,A,x,0.3609,-0.0575,0.00048,,Good,N,N,
C1,C,xfostered,23,2,10,10/24/21,15,R,NCM,1.49,1,B,x,-0.333,-0.0005,0.0013,,Bad,N,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.11,1,A,x,-0.722,0.002,0.00027,,Good,N,Y,"Inverted, double-troughed"
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.11,1,B,ok,0.683,-0.109,0.00096,,Bad,N,N,
C2,C,normal,22,2,12.6,10/23/21,15,R,NCM,1.17,1,A,ok,0.4971,-0.0928,0.001020215,,Good,N,N,
C2,C,normal,22,2,12.6,10/23/21,15,R,NCM,1.17,1,B,ok,-0.5291,0,0.00132,,Bad,N,N,"Inverted, really fat"
C2,C,normal,22,2,12.6,10/23/21,15,L,NCM,1.2,4,A,x,0.3606,-0.0856,0.000840594,,Bad,N,N,NEW STIM #S
C2,C,normal,22,2,12.6,10/23/21,15,L,FL,1.4,4,A,ok,-0.505,0.0111,0.000960081,,Bad,N,N,NEW STIM #S; inverted
C2,C,normal,22,2,12.6,10/23/21,15,L,NCM,1.25,5,A,ok,0.47772,-0.082,0.000479998,,Bad,N,N,NEW STIM #S; LOTS OF SMALL MOVEMENTS IN THIS CHANNEL
C2,C,normal,22,2,12.6,10/23/21,15,L,FL,1.47,5,A,ok,-0.477,0.0602,0.00024,,Bad,N,N,NEW STIM #S; inverted
C2,C,normal,22,2,12.6,10/23/21,15,L,FL,1.47,5,B,ok,0.4502,-0.0304,0.001019997,,Bad,N,N,NEW STIM #S; still has AC hum noise
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.08,3,A,x,-0.927,0.169,0.000598735,,Good,N,N,Inverted
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.08,3,B,bad,0.82,-0.077,0.00126,,Bad,N,N,
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.08,3,C,ok,-0.868,0.088,0.000180001,,Good,N,N,inverted
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.13,4,A,x,-0.938,0.31,0.000239985,,Good,N,N,inverted
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.12,5,A,ok,0.3306,-0.1224,0.00126,,Good,N,N,Fat shape
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.18,5,A,x,-0.4775,0.054,0.0005999,,Good,N,N,Inverted
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.18,5,B,x,0.449,0.0164,0.001,,Duplicate,N,N,
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.18,6,A,ok,-0.316,0.01396,0.00126,,Bad,N,N,Inverted and fat
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.18,6,B,ok,0.3413,-0.0738,0.0003,,Good,N,N,
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.23,6,A,ok,-0.689,0.121,0.000720211,,Good,N,N,Inverted
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.25,7,A,x,-0.33724,0,0.001321008,,Bad,N,N,Inverted with fat shape
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.25,7,B,x,0.37,-0.1276,0.0003,,Good,N,N,
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.28,7,A,x,-0.516,0.0747,0.000540003,,Good,N,N,Inverted
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.28,7,B,x,0.5016,0.04,0.000240046,,Duplicate,N,N,Trough before peak
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.35,8,A,ok,0.2288,-0.0119,0.0012,,Bad,N,N,Low S:N
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.38,8,A,ok,-0.4688,0.0677,0.0011,,Bad,N,N,Low S:N
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.4,9,A,x,0.2168,0.07559,0.0003,,Good,N,N,
C4,C,xfostered,26,3,8.3,10/28/21,15,R,NCM,1.4,9,B,x,-0.2208,0.0002,0.00132,,Bad,N,N,Inverted and fat
C4,C,xfostered,26,3,8.3,10/28/21,15,R,FL,1.43,9,A,x,-0.521,0.0849,0.000664,,Good,N,N,"Inverted, reclassified"
C1,C,xfostered,23,2,10,10/24/21,15,R,NCM,1.58,2,A,x,0.4014,-0.0498,0.000239973,,Good,N,Y,Actually had double hyperpolarization hump but I measured the first one
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.16,2,A,x,-0.918,0.48,0.000239765,,Good,N,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,R,NCM,1.63,3,A,x,0.3466,-0.06,0.000540002,,Good,N,N,
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.21,3,A,x,-0.776,0.201,0.000179992,,Good,N,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.26,4,A,x,-0.695,0.199,0.000540091,,Good,Y,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.26,4,B,x,-0.661,0.3,0.00018,,Good,Y,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.36,5,A,x,-0.546,0.331,0.00018,,Good,N,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.36,5,B,x,0.515,-0.0859,0.000239989,,Good,N,Y,Trough before peak
C1,C,xfostered,23,2,10,10/24/21,15,R,NCM,1.78,6,A,x,0.3386,-0.0517,0.00107999,,Bad,N,N,"Might not be auditory, maybe likes Stim1?"
C1,C,xfostered,23,2,10,10/24/21,15,R,FL,1.41,6,A,x,-0.644,0.422,0.000179999,,Good,N,N,Inverted
C1,C,xfostered,23,2,10,10/24/21,15,L,NCM,1.21,7,A,x,0.4398,-0.0647,0.00126,,Good,N,Y,Double-troughed (could be a narrow unit if measure the other one…)
C1,C,xfostered,23,2,10,10/24/21,15,L,NCM,1.25,8,A,x,0.4529,-0.1232,0.000180002,,Bad,N,N,STIM SET 2 Might not be auditory
C1,C,xfostered,23,2,10,10/24/21,15,L,FL,1.29,8,A,x,-1.217,0.244,0.000240001,,Good,N,N,STIM SET 2 Inverted
C1,C,xfostered,23,2,10,10/24/21,15,L,NCM,1.3,9,A,x,0.494,-0.1259,0.0009,,Good,N,N,STIM SET 2 Only likes 2 of the stimuli?
C1,C,xfostered,23,2,10,10/24/21,15,L,FL,1.34,9,A,x,-1.085,0.595,0.000240007,,Bad,N,N,STIM SET 2 Inverted
C1,C,xfostered,23,2,10,10/24/21,15,L,FL,1.34,9,B,x,-1.154,0.535,0.000538728,,Bad,N,N,STIM SET 2 Inverted
C1,C,xfostered,23,2,10,10/24/21,15,L,NCM,1.4,10,A,ok,0.5653,-0.1072,0.001025159,,Bad,N,N,STIM SET 2 Might not be auditory
C1,C,xfostered,23,2,10,10/24/21,15,L,FL,1.39,10,A,x,-0.686,0.225,0.00054,,Good,N,N,STIM SET 2 Inverted
C1,C,xfostered,23,2,10,10/24/21,15,L,FL,1.39,10,B,x,-1.132,0.565,0.00024,,Good,N,N,STIM SET 2 Inverted
D1,D,normal,21,1,12.8,12/18/21,15,L,NCM,1.58,1,A,x,0.4663,-0.0974,0.0003,,Good,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,NCM,1.58,1,B,ok?,-0.4399,0.0003,0.0018578,,Bad,N,N,Inverted and fat
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.2,1,A,bad,-1.158,0.311,0.000179999,,Good,N,N,Inverted but beautiful
D1,D,normal,21,1,12.8,12/18/21,15,L,NCM,1.68,2,A,x,0.37,-0.1172,0.00072,,Good,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.25,2,A,x,-1.018,0.065,0.00126,,Good,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.25,2,B,ok,0.918,-0.041,0.0012,,Duplicate,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,NCM,1.78,3,A,ok,0.4129,-0.0572,0.00126,,Bad,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.31,3,A,ok?,-0.807,0.043,0.00126,,Bad,N,N,Double peaked
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.31,3,B,x,0.789,-0.077,0.00042,,Good,N,Y,Trough before peak
D1,D,normal,21,1,12.8,12/18/21,15,L,NCM,1.88,4,A,ok,0.4125,-0.0352,0.00029996,,Bad,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.37,4,A,x,-1.304,0.482,0.000479999,,Good,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.37,4,B,bad,-1.213,0.259,0.00018,,Bad,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,L,NCM,1.88,5,A,x,0.3144,-0.0592,0.00126,,Bad,N,N,Low S:N
D1,D,normal,21,1,12.8,12/18/21,15,L,FL,1.37,5,A,x,-1.029,0.403,0.00036,,Good,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,R,NCM,1.26,7,A,x,0.4859,-0.0845,0.001078804,,Bad,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,R,FL,1.37,7,A,x,-0.5426,0.0215,0.00126,,Good,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,R,NCM,1.36,8,A,ok,0.3351,-0.0293,0.00114,,Bad,N,N,Lost spot after 389s
D1,D,normal,21,1,12.8,12/18/21,15,R,FL,1.42,8,A,ok,-0.979,0.169,0.0006,,Bad,N,N,
D1,D,normal,21,1,12.8,12/18/21,15,R,FL,1.42,8,B,ok,0.851,-0.089,0.001259559,,Good,N,N,
D4,D,normal,22,2,12.3,12/19/21,15,L,NCM,1.07,1,A,ok,-0.32389,0.00009,0.00132,,Duplicate,N,N,Inverted and fat
D4,D,normal,22,2,12.3,12/19/21,15,L,NCM,1.07,1,B,x,0.341,-0.0364,0.00102,,Good,N,N,
D4,D,normal,22,2,12.3,12/19/21,15,L,FL,1.02,1,A,x,-1.01,0.238,0.00048044,,Good,N,N,Inverted
D4,D,normal,22,2,12.3,12/19/21,15,L,FL,1.02,1,B,x,0.907,-0.004,0.00018,,Good,N,Y,Trough before peak
D4,D,normal,22,2,12.3,12/19/21,15,L,FL,1.02,1,C,x,-0.967,0.197,0.00017986,,Good,N,N,Inverted
D4,D,normal,22,2,12.3,12/19/21,15,L,NCM,1.17,2,A,x,0.3394,-0.0388,0.00119897,,Good,N,N,
D4,D,normal,22,2,12.3,12/19/21,15,L,NCM,1.17,2,B,x,-0.33461,0.00035,0.00132,,Duplicate,N,N,Inverted
D4,D,normal,22,2,12.3,12/19/21,15,L,FL,1.07,2,A,x,-0.905,0.085,0.000311,,Good,N,N,Inverted
D4,D,normal,22,2,12.3,12/19/21,15,L,FL,1.07,2,B,x,0.805,-0.4,0.00018,,Good,N,Y,trough before peak
D4,D,normal,22,2,12.3,12/19/21,15,L,NCM,1.27,3,A,x,0.3503,-0.0421,0.001259953,,Good,N,N,
D4,D,normal,22,2,12.3,12/19/21,15,L,NCM,1.27,3,B,x,-0.3598,0.0001,0.0013813,,Good,N,N,Inverted
